length,score
100000,0.0
100000,0.0
length,score
100000,0.0
100000,0.0
length,score
288,0.0
276,0.0
22963,0.0
100000,0.0
100000,0.0
length,score
20190,0.0
100000,-1604.0
100000,0.0
length,score
316,0.0
333,0.0
326,0.0
318,-9.0
333,0.0
326,0.0
324,-9.0
332,0.0
480,-24.0
318,0.0
326,-21.0
325,0.0
329,0.0
330,0.0
324,0.0
487,-30.0
337,0.0
393,-24.0
332,0.0
315,0.0
317,-2.0
326,0.0
319,0.0
320,-13.0
330,-2.0
331,0.0
326,-21.0
316,0.0
506,-18.0
318,-21.0
325,-7.0
321,0.0
319,0.0
327,0.0
335,0.0
322,0.0
329,-17.0
314,0.0
320,0.0
324,0.0
324,0.0
325,0.0
324,0.0
329,-5.0
335,0.0
329,0.0
319,0.0
326,0.0
100000,0.0
315,0.0
321,0.0
323,-24.0
328,0.0
332,0.0
329,-15.0
320,0.0
335,0.0
318,-7.0
328,0.0
330,0.0
314,0.0
326,0.0
329,0.0
327,0.0
319,-5.0
326,-2.0
337,0.0
325,0.0
318,0.0
393,-14.0
320,-26.0
321,-45.0
330,0.0
324,0.0
329,0.0
317,0.0
318,-9.0
332,-13.0
329,-26.0
333,0.0
325,0.0
319,-6.0
325,-4.0
323,-21.0
320,0.0
330,0.0
324,0.0
326,-16.0
324,0.0
326,0.0
491,-15.0
327,0.0
332,-7.0
318,-9.0
329,-19.0
386,-21.0
399,-15.0
326,0.0
326,0.0
320,0.0
325,-24.0
318,0.0
312,0.0
314,-7.0
322,0.0
329,0.0
length,score
482,0.0
493,0.0
523,0.0
432,0.0
488,0.0
437,0.0
503,0.0
492,0.0
485,0.0
495,-8.0
497,0.0
484,0.0
501,0.0
423,0.0
501,0.0
412,0.0
497,0.0
493,0.0
489,0.0
501,0.0
403,-35.0
416,0.0
346,0.0
435,0.0
573,-22.0
492,0.0
401,0.0
448,0.0
344,0.0
441,0.0
413,0.0
514,0.0
506,0.0
410,-31.0
413,0.0
342,0.0
413,0.0
490,0.0
497,0.0
600,-68.0
442,0.0
601,0.0
482,0.0
495,-26.0
411,0.0
500,0.0
492,0.0
492,0.0
576,-24.0
423,0.0
617,-28.0
439,-26.0
428,0.0
349,-15.0
415,0.0
494,0.0
409,0.0
427,0.0
404,0.0
580,0.0
421,0.0
430,0.0
518,0.0
584,0.0
647,-24.0
490,0.0
430,0.0
486,-11.0
410,0.0
494,0.0
428,0.0
482,0.0
436,0.0
502,0.0
501,0.0
582,0.0
496,-30.0
488,0.0
425,0.0
410,0.0
432,0.0
398,0.0
499,-22.0
503,0.0
496,-42.0
100000,0.0
length,score
314,-21.0
320,-14.0
323,0.0
403,-28.0
327,0.0
323,-21.0
326,0.0
320,0.0
326,-19.0
330,0.0
310,0.0
100000,0.0
100000,0.0
length,score
100000,0.0
100000,0.0
length,score
1492,0.0
1685,-203.0
14487,-2000.0
3696,-100.0
1780,-88.0
15302,-2000.0
17139,-2000.0
3080,-224.0
3388,-118.0
100000,-2000.0
length,score
343,-13.0
441,-26.0
328,0.0
399,0.0
343,0.0
339,-19.0
326,0.0
420,-18.0
403,-4.0
331,0.0
410,0.0
423,-19.0
564,-26.0
469,-22.0
563,-24.0
321,0.0
330,0.0
344,0.0
425,0.0
511,-80.0
505,0.0
326,0.0
416,-43.0
321,-13.0
322,0.0
323,-17.0
404,-19.0
336,0.0
337,0.0
330,0.0
411,-17.0
431,-24.0
329,0.0
324,-21.0
321,-19.0
522,-24.0
332,-11.0
327,-21.0
327,0.0
484,-24.0
314,0.0
328,0.0
403,0.0
331,-20.0
336,-19.0
411,-19.0
428,0.0
324,-17.0
406,0.0
322,0.0
350,-18.0
330,0.0
315,-2.0
574,-24.0
478,-24.0
331,0.0
406,-24.0
337,0.0
330,0.0
544,-30.0
330,-13.0
407,0.0
341,-17.0
409,0.0
334,0.0
324,-9.0
467,-42.0
328,-19.0
459,-33.0
340,0.0
409,0.0
707,-30.0
484,-30.0
339,0.0
331,-11.0
325,0.0
324,0.0
321,-17.0
497,-50.0
331,0.0
476,-24.0
329,0.0
467,0.0
330,-13.0
408,0.0
335,-5.0
321,0.0
475,0.0
406,-3.0
399,0.0
327,0.0
319,-21.0
334,-16.0
457,-50.0
479,-34.0
335,0.0
409,0.0
332,-19.0
326,0.0
344,-21.0
322,0.0
417,0.0
325,-13.0
324,0.0
504,-26.0
318,-24.0
430,-9.0
414,0.0
321,0.0
335,0.0
323,-21.0
344,0.0
328,-13.0
473,-24.0
331,0.0
405,0.0
419,0.0
324,-4.0
410,0.0
423,-21.0
324,-7.0
459,-33.0
413,0.0
