length,score
3024,-367.0
1861,-47.0
4432,-489.0
6015,-995.0
739,-31.0
8491,-700.0
4585,-200.0
1010,0.0
1858,0.0
1610,-130.0
1979,-80.0
1159,-44.0
1303,-33.0
494,0.0
1101,0.0
3282,0.0
2287,-300.0
1568,-279.0
12500,-2000.0
2917,-100.0
1987,0.0
6770,-1526.0
8677,-1328.0
17198,-2000.0
813,-14.0
663,-12.0
6718,-1230.0
8546,-747.0
581,-33.0
1677,-100.0
490,0.0
430,0.0
3664,-382.0
490,0.0
1099,-66.0
980,0.0
1982,-100.0
566,-36.0
758,-40.0
6495,-300.0
769,0.0
4949,-437.0
5302,-409.0
502,-8.0
99999,-2000.0
1279,-56.0
1049,-83.0
1178,-100.0
668,-24.0
763,-8.0
4481,-555.0
771,0.0
594,-14.0
1513,-81.0
945,0.0
3415,-684.0
8660,-1000.0
685,0.0
474,0.0
758,-22.0
2140,-684.0
