length,score
759,-67.0
865,-42.0
824,-61.0
683,-44.0
1004,-142.0
933,-63.0
933,-60.0
1181,-272.0
668,0.0
1179,-181.0
664,-62.0
837,-40.0
1025,-122.0
906,-112.0
824,-99.0
1359,-358.0
1113,-131.0
1109,-54.0
698,-82.0
784,-80.0
1165,-428.0
1031,-66.0
1017,-81.0
1087,-102.0
1039,-92.0
827,-105.0
1118,-124.0
1260,-155.0
742,-40.0
1004,-109.0
944,-121.0
836,-66.0
3243,-682.0
860,-62.0
1061,-418.0
931,-80.0
669,-60.0
864,-44.0
926,-22.0
940,-92.0
864,-60.0
944,-89.0
742,-66.0
960,-67.0
1361,-124.0
861,-65.0
762,-68.0
841,-97.0
577,-22.0
930,-104.0
672,-60.0
843,-40.0
605,-49.0
840,-80.0
909,-40.0
825,-131.0
834,-121.0
748,-83.0
918,-104.0
752,-31.0
1193,-108.0
846,-42.0
1005,-126.0
846,-88.0
661,-22.0
1028,-63.0
858,-44.0
930,-60.0
750,-62.0
920,-106.0
756,-20.0
744,-40.0
663,-66.0
511,-40.0
836,-81.0
1298,-141.0
1261,-224.0
754,-40.0
1019,-49.0
1013,-134.0
582,-74.0
927,-60.0
927,-42.0
1046,-73.0
750,-82.0
672,-40.0
853,-110.0
1014,-77.0
669,-45.0
936,-119.0
845,-108.0
770,-71.0
588,-45.0
766,-53.0
843,-1.0
929,-28.0
851,-85.0
1076,-82.0
1173,-446.0
844,-105.0
750,-26.0
840,-82.0
673,-76.0
770,-103.0
584,-28.0
848,-99.0
927,-79.0
752,-80.0
840,-66.0
913,-76.0
681,-64.0
684,-49.0
962,-97.0
673,-66.0
1002,-93.0
930,-66.0
1428,-140.0
840,-49.0
668,-100.0
689,-98.0
749,-81.0
1028,-106.0
430,0.0
1520,-168.0
914,-103.0
659,-40.0
840,-116.0
999,-52.0
1038,-75.0
750,-50.0
839,-59.0
1089,-77.0
780,-88.0
669,-28.0
768,-40.0
762,-44.0
833,-128.0
751,-20.0
746,-55.0
843,-80.0
748,-61.0
1210,-282.0
910,-121.0
910,-181.0
1009,-102.0
762,-92.0
912,-126.0
915,-66.0
841,-84.0
846,-55.0
758,-44.0
length,score
465,0.0
432,0.0
643,0.0
335,0.0
792,-103.0
1201,0.0
513,0.0
473,-7.0
372,0.0
605,0.0
623,0.0
597,0.0
565,0.0
100000,0.0
756,0.0
676,0.0
480,0.0
734,0.0
521,0.0
760,0.0
773,0.0
514,0.0
675,0.0
657,0.0
439,0.0
774,0.0
542,0.0
431,0.0
937,0.0
662,0.0
606,0.0
369,0.0
100000,0.0
length,score
100000,0.0
24132,-2000.0
100000,-2000.0
