length,score
335,0.0
417,0.0
334,0.0
322,-21.0
321,0.0
320,0.0
339,0.0
499,-26.0
328,0.0
320,0.0
323,-24.0
417,0.0
329,0.0
507,-24.0
321,-21.0
317,0.0
325,0.0
321,-2.0
407,-3.0
414,0.0
324,0.0
486,-40.0
334,0.0
327,0.0
331,-9.0
337,0.0
1619,0.0
350,0.0
495,0.0
336,-23.0
340,0.0
329,0.0
580,-20.0
468,-24.0
499,-17.0
321,-19.0
514,-24.0
486,-26.0
335,-11.0
483,-24.0
609,0.0
329,0.0
334,-4.0
671,-126.0
313,0.0
492,0.0
323,0.0
329,-21.0
330,0.0
317,0.0
348,0.0
328,0.0
326,-26.0
329,0.0
329,-19.0
336,0.0
325,0.0
322,0.0
503,-28.0
327,0.0
517,-26.0
316,0.0
314,0.0
329,0.0
336,0.0
339,-22.0
325,0.0
318,0.0
325,0.0
323,0.0
403,0.0
703,0.0
383,-19.0
323,0.0
321,-19.0
332,0.0
327,0.0
489,-24.0
331,0.0
333,0.0
1217,0.0
319,-26.0
494,-26.0
327,0.0
328,-21.0
328,0.0
326,0.0
316,0.0
405,-6.0
325,0.0
591,0.0
328,-21.0
335,0.0
333,0.0
331,0.0
325,0.0
335,0.0
483,-24.0
326,0.0
329,0.0
325,0.0
399,-23.0
316,0.0
497,-24.0
474,-28.0
331,0.0
328,-2.0
324,-9.0
320,0.0
330,0.0
476,-34.0
334,0.0
341,-21.0
331,0.0
10706,-420.0
324,0.0
24041,-470.0
324,0.0
320,0.0
332,0.0
336,0.0
408,-6.0
340,0.0
328,0.0
325,0.0
327,0.0
327,0.0
330,-17.0
324,0.0
336,0.0
335,0.0
328,0.0
560,0.0
496,-12.0
327,0.0
326,0.0
494,-30.0
328,0.0
332,-17.0
662,-28.0
341,0.0
323,0.0
329,0.0
320,0.0
326,-24.0
333,-23.0
316,0.0
329,-23.0
315,0.0
324,-26.0
322,0.0
586,-10.0
351,-6.0
416,0.0
343,-26.0
334,0.0
924,-100.0
498,-24.0
326,0.0
420,-24.0
598,-34.0
330,-13.0
422,0.0
469,-28.0
509,-24.0
324,-21.0
472,-34.0
473,-24.0
322,0.0
329,-24.0
324,0.0
326,0.0
320,0.0
322,-15.0
322,0.0
506,-14.0
330,0.0
327,0.0
326,0.0
326,0.0
336,0.0
335,0.0
323,0.0
334,-9.0
525,-32.0
329,0.0
324,0.0
334,0.0
330,-23.0
320,-13.0
324,0.0
325,0.0
1491,-26.0
334,0.0
326,0.0
478,-26.0
482,0.0
330,0.0
332,0.0
333,0.0
518,-26.0
333,0.0
333,0.0
330,-7.0
334,0.0
403,0.0
419,0.0
316,0.0
484,-24.0
321,0.0
328,0.0
665,-29.0
343,-19.0
320,-22.0
333,0.0
500,0.0
556,0.0
330,0.0
329,0.0
330,0.0
320,0.0
339,-24.0
337,0.0
319,0.0
330,0.0
318,-23.0
315,0.0
554,-24.0
317,0.0
335,0.0
329,-18.0
327,0.0
316,0.0
321,-4.0
336,-2.0
334,0.0
489,-26.0
489,0.0
323,0.0
477,0.0
325,0.0
4214,-124.0
322,0.0
324,-24.0
320,0.0
328,-4.0
329,-4.0
350,0.0
334,0.0
324,0.0
322,0.0
414,0.0
length,score
432,0.0
410,-15.0
426,0.0
417,0.0
496,0.0
589,0.0
439,0.0
546,-46.0
488,0.0
100000,0.0
595,0.0
492,0.0
412,0.0
502,0.0
423,0.0
550,-46.0
409,0.0
493,0.0
327,-11.0
505,0.0
413,0.0
413,-19.0
409,-17.0
403,-17.0
443,0.0
414,0.0
425,-7.0
417,0.0
418,0.0
495,-20.0
410,0.0
577,0.0
324,0.0
434,0.0
491,0.0
100000,0.0
length,score
319,0.0
412,-8.0
321,0.0
339,0.0
404,-58.0
404,-33.0
577,-39.0
316,0.0
342,0.0
320,-26.0
326,-26.0
759,-134.0
326,0.0
330,0.0
415,-37.0
320,-35.0
332,0.0
326,0.0
317,0.0
329,0.0
314,0.0
328,0.0
500,0.0
414,-4.0
328,0.0
581,-28.0
321,0.0
417,-2.0
403,-37.0
411,-8.0
330,-4.0
329,0.0
325,0.0
317,0.0
324,-24.0
331,0.0
418,-8.0
493,-31.0
319,0.0
333,0.0
331,0.0
321,0.0
322,-26.0
332,0.0
583,-26.0
333,0.0
332,0.0
343,-37.0
330,0.0
330,0.0
315,-32.0
335,-26.0
323,0.0
410,0.0
330,0.0
335,0.0
330,-2.0
418,-38.0
510,-33.0
322,0.0
322,-48.0
319,0.0
325,0.0
583,-28.0
324,0.0
331,0.0
857,-66.0
419,-8.0
325,0.0
