length,score
429,0.0
855,0.0
767,-7.0
1532,-13.0
455,0.0
4042,-824.0
5705,-300.0
2968,-372.0
1209,0.0
958,0.0
3166,-762.0
847,0.0
1711,-100.0
937,-102.0
838,-40.0
9025,-1214.0
497,0.0
1930,-264.0
669,-22.0
442,0.0
936,-40.0
7682,-1076.0
1194,0.0
6885,-551.0
1131,-475.0
1039,0.0
1040,0.0
349,0.0
4912,-500.0
1114,0.0
1463,-158.0
1439,0.0
901,-46.0
3598,-260.0
3453,-418.0
696,0.0
847,-110.0
1593,-200.0
3227,-337.0
2313,-510.0
720,-26.0
807,-100.0
2175,-373.0
459,0.0
822,-22.0
1539,-224.0
1024,0.0
5184,-944.0
2394,-227.0
426,0.0
965,0.0
509,-14.0
782,-14.0
2167,-200.0
5482,-217.0
766,-63.0
781,-66.0
4447,-578.0
10998,-1000.0
2236,-131.0
1316,0.0
1692,-66.0
479,0.0
1237,-100.0
376,0.0
9054,-700.0
999,0.0
2303,-497.0
4343,-900.0
1117,-44.0
2220,-374.0
8447,-600.0
1815,-100.0
666,-32.0
527,-60.0
847,-100.0
771,0.0
3868,-200.0
4685,-440.0
2430,0.0
3316,-400.0
543,-19.0
658,-14.0
8085,-2000.0
1626,-141.0
11272,-1432.0
1539,-100.0
1552,-399.0
12488,-2000.0
915,0.0
3079,-509.0
3068,-200.0
3767,-297.0
931,-42.0
3366,-1064.0
670,0.0
4382,-500.0
7131,-1335.0
472,0.0
924,0.0
4948,-500.0
1440,-100.0
14310,-2000.0
396,0.0
932,0.0
356,0.0
1034,0.0
1428,-200.0
579,0.0
1453,-200.0
2399,-151.0
497,0.0
7830,-700.0
579,0.0
915,-40.0
730,0.0
3090,-300.0
7875,-900.0
1076,-200.0
688,-26.0
1232,0.0
586,-29.0
2111,-129.0
3461,-100.0
3748,-562.0
750,-76.0
1372,0.0
600,0.0
2809,-349.0
470,0.0
631,0.0
6595,-600.0
610,0.0
537,0.0
1595,-6.0
1587,-300.0
1417,-100.0
822,0.0
4546,-700.0
3371,-200.0
2123,-200.0
4132,-400.0
5897,-300.0
11801,-1402.0
2102,-100.0
1431,-73.0
914,-84.0
1041,0.0
2966,-200.0
1871,-421.0
1614,-26.0
378,0.0
1104,0.0
1092,-100.0
1004,-79.0
3042,-350.0
939,-24.0
356,0.0
688,0.0
1046,-139.0
2009,-259.0
7984,-1328.0
608,0.0
508,0.0
683,-65.0
1125,-56.0
1272,-131.0
3482,0.0
760,-46.0
3539,-486.0
401,0.0
6317,-753.0
4393,-100.0
1879,-50.0
2041,-224.0
1827,-291.0
3222,0.0
1713,-100.0
549,0.0
765,-12.0
385,0.0
2879,0.0
1233,-100.0
587,0.0
2896,-635.0
908,-20.0
1662,-105.0
4161,-234.0
3992,-322.0
978,-20.0
1214,-294.0
524,0.0
1085,-64.0
444,0.0
5143,-810.0
3323,-954.0
3758,-278.0
4892,-500.0
409,0.0
269,0.0
1418,-100.0
7022,-1364.0
437,0.0
674,-17.0
3563,-302.0
2658,-600.0
1182,0.0
1968,-100.0
416,0.0
418,0.0
7024,-1162.0
858,-35.0
333,0.0
1683,0.0
356,0.0
438,0.0
937,-68.0
1330,-27.0
940,-45.0
1085,-100.0
3443,-430.0
2151,-51.0
834,-66.0
6452,-238.0
559,0.0
596,-23.0
508,0.0
674,0.0
2995,-345.0
600,0.0
1267,-22.0
1660,-100.0
2354,-200.0
673,-63.0
500,0.0
3711,-482.0
5307,-300.0
3348,-200.0
1260,-118.0
426,0.0
771,-35.0
300,0.0
2500,-300.0
667,0.0
863,0.0
892,0.0
593,-8.0
6052,-572.0
2223,0.0
3105,-200.0
2460,-303.0
533,0.0
590,-23.0
5245,-412.0
443,0.0
860,0.0
642,0.0
1246,0.0
2350,-100.0
440,0.0
3006,-100.0
525,-18.0
780,-30.0
858,0.0
838,-46.0
4236,-100.0
1556,-200.0
1240,-100.0
697,0.0
3278,-100.0
542,-34.0
1384,-324.0
769,-22.0
6116,-210.0
4964,-286.0
777,-31.0
333,0.0
3722,-605.0
261,0.0
935,0.0
1027,-22.0
3366,-400.0
672,-41.0
524,0.0
2141,-300.0
1211,0.0
2952,-200.0
1133,0.0
2945,-102.0
667,-12.0
1317,0.0
5217,-100.0
760,0.0
433,0.0
534,0.0
710,-100.0
1709,-377.0
491,0.0
1375,-118.0
6172,-200.0
1314,-22.0
4212,-400.0
840,-26.0
586,-26.0
1064,-100.0
3698,-300.0
6369,-400.0
4136,-400.0
777,-22.0
860,-46.0
3364,-335.0
706,0.0
548,0.0
1006,0.0
500,0.0
580,0.0
1269,-22.0
2072,-400.0
997,-316.0
2178,0.0
490,-12.0
1360,0.0
2493,-200.0
922,-10.0
682,-112.0
807,0.0
818,-22.0
920,-44.0
505,-21.0
520,-22.0
4714,-476.0
2727,-100.0
352,0.0
2650,-100.0
1297,-30.0
518,0.0
3559,-200.0
500,0.0
2629,-197.0
4087,-200.0
405,0.0
424,0.0
7500,-300.0
489,0.0
843,-67.0
588,0.0
867,-24.0
587,0.0
3942,-300.0
1395,-100.0
8825,-500.0
633,-50.0
3670,-300.0
591,-39.0
507,-66.0
507,0.0
3819,-130.0
863,-51.0
580,0.0
596,-46.0
