length,score
5926,-220.0
13716,-1640.0
7393,-1234.0
1610,-125.0
5423,-878.0
2733,-722.0
669,-46.0
10167,-880.0
922,-100.0
3858,-200.0
2144,-88.0
595,-45.0
15902,-1200.0
4430,-319.0
5627,-741.0
497,0.0
564,0.0
4426,-1459.0
3697,-246.0
4402,-600.0
1274,-100.0
5984,-584.0
422,0.0
896,0.0
2103,-20.0
3389,-454.0
6297,-448.0
3149,-100.0
1097,-24.0
4814,-658.0
1438,-24.0
4148,-300.0
3364,-100.0
3844,-318.0
4099,-226.0
5367,-400.0
4977,-589.0
841,-43.0
514,-4.0
1584,0.0
7123,-715.0
1033,-22.0
7254,-696.0
2388,-262.0
667,-43.0
577,0.0
1979,-200.0
4957,-200.0
494,-4.0
1171,-30.0
596,-22.0
598,-6.0
4761,-842.0
511,0.0
5816,-300.0
759,-52.0
1790,-200.0
1276,-16.0
1191,-100.0
2856,-100.0
753,-48.0
1221,-29.0
8882,-500.0
407,0.0
1423,-40.0
1179,-48.0
590,0.0
4274,-300.0
584,-37.0
572,0.0
586,-42.0
437,0.0
4515,-300.0
1660,-356.0
807,0.0
7521,-830.0
2833,-375.0
746,0.0
370,0.0
670,-21.0
6617,-442.0
1283,-143.0
632,0.0
1340,0.0
1972,-143.0
1196,0.0
432,0.0
600,0.0
429,0.0
511,0.0
411,0.0
618,0.0
505,0.0
8159,-1764.0
7583,-400.0
1669,-194.0
