length,score
323,0.0
332,-7.0
325,0.0
315,-21.0
327,0.0
411,0.0
330,0.0
318,0.0
334,0.0
326,0.0
326,-11.0
326,0.0
320,0.0
319,0.0
327,0.0
335,0.0
324,0.0
316,0.0
322,0.0
332,0.0
320,-17.0
410,0.0
324,-7.0
323,0.0
331,0.0
468,-22.0
330,0.0
414,-7.0
330,-13.0
330,0.0
325,0.0
320,-5.0
335,0.0
470,-24.0
316,0.0
327,0.0
332,0.0
320,-5.0
320,0.0
329,-19.0
333,0.0
321,0.0
335,0.0
320,0.0
482,-25.0
333,-26.0
328,-39.0
321,0.0
326,-5.0
323,-24.0
332,0.0
324,0.0
333,0.0
412,0.0
319,0.0
325,0.0
325,0.0
519,-26.0
326,0.0
338,0.0
318,0.0
322,0.0
327,-13.0
328,0.0
406,-2.0
321,-11.0
320,0.0
406,0.0
334,-9.0
335,0.0
320,0.0
498,0.0
316,-24.0
333,0.0
320,0.0
327,-21.0
329,0.0
323,0.0
326,-15.0
327,0.0
319,0.0
325,-9.0
328,0.0
329,-24.0
333,0.0
324,-17.0
331,0.0
331,0.0
493,0.0
313,-22.0
332,-24.0
325,-15.0
329,-24.0
321,-13.0
326,-7.0
318,-4.0
332,0.0
319,-24.0
408,0.0
413,0.0
328,-15.0
327,0.0
322,0.0
338,0.0
333,0.0
326,0.0
489,-24.0
315,0.0
324,-26.0
333,-22.0
325,0.0
338,0.0
408,0.0
414,-11.0
329,0.0
400,0.0
330,0.0
315,-24.0
563,-24.0
473,-33.0
564,-26.0
323,0.0
321,-19.0
489,-26.0
324,0.0
415,-7.0
324,-17.0
319,-15.0
329,0.0
323,0.0
475,-46.0
323,0.0
480,-28.0
327,0.0
479,-54.0
317,0.0
328,0.0
565,-30.0
331,-26.0
332,-13.0
324,-19.0
320,-17.0
322,0.0
325,0.0
483,-32.0
327,0.0
519,-33.0
337,0.0
333,-21.0
582,-34.0
423,0.0
321,0.0
324,0.0
332,-11.0
316,-2.0
329,0.0
327,0.0
479,-26.0
331,-24.0
484,0.0
398,-7.0
325,0.0
325,0.0
331,0.0
325,-9.0
332,0.0
327,0.0
324,0.0
320,0.0
315,-14.0
412,-9.0
330,0.0
501,0.0
323,0.0
341,-21.0
503,0.0
331,0.0
408,0.0
325,0.0
327,-13.0
324,0.0
322,0.0
322,0.0
326,0.0
328,0.0
333,0.0
324,0.0
324,0.0
321,0.0
416,-27.0
325,0.0
326,0.0
322,0.0
498,-1.0
322,0.0
497,0.0
317,0.0
323,0.0
333,0.0
316,-19.0
489,-24.0
317,0.0
328,0.0
328,-13.0
493,-24.0
328,0.0
317,0.0
337,0.0
325,0.0
323,0.0
425,-50.0
316,0.0
488,-28.0
424,-26.0
326,-26.0
469,-26.0
491,-24.0
330,-24.0
342,-22.0
330,0.0
335,-4.0
323,0.0
323,0.0
333,-5.0
335,0.0
501,-4.0
486,-24.0
345,0.0
329,-19.0
483,-24.0
313,0.0
477,-30.0
321,-5.0
333,0.0
329,0.0
323,0.0
319,0.0
332,0.0
323,0.0
316,0.0
329,0.0
333,-2.0
323,0.0
330,-9.0
561,-20.0
330,-13.0
427,0.0
324,0.0
419,0.0
327,-19.0
330,-19.0
322,0.0
313,0.0
332,-19.0
332,0.0
328,-13.0
336,-17.0
326,0.0
321,0.0
321,-2.0
320,0.0
481,-24.0
328,-11.0
331,0.0
317,0.0
332,0.0
330,0.0
483,-24.0
328,-7.0
473,-24.0
325,0.0
323,0.0
335,0.0
329,0.0
329,0.0
319,0.0
330,-4.0
340,0.0
328,0.0
329,0.0
327,0.0
313,0.0
488,-24.0
316,-24.0
337,0.0
423,0.0
321,0.0
319,0.0
323,0.0
326,0.0
488,-24.0
323,0.0
327,0.0
333,0.0
324,0.0
328,0.0
323,0.0
326,0.0
326,0.0
335,0.0
334,-19.0
320,0.0
334,0.0
495,-26.0
420,-18.0
320,0.0
336,-19.0
320,0.0
321,-19.0
313,-15.0
333,0.0
327,0.0
325,0.0
325,0.0
322,0.0
326,0.0
322,0.0
339,-50.0
322,-9.0
329,0.0
324,-11.0
330,-21.0
322,0.0
479,0.0
328,0.0
323,0.0
321,-21.0
418,0.0
325,0.0
485,-7.0
326,0.0
331,-7.0
324,0.0
320,0.0
525,-24.0
329,0.0
320,-7.0
325,0.0
320,0.0
332,-13.0
323,0.0
340,0.0
326,0.0
340,0.0
325,0.0
324,0.0
333,-20.0
324,0.0
331,-5.0
399,-35.0
345,0.0
327,-7.0
491,-32.0
332,0.0
320,0.0
327,0.0
496,0.0
322,-26.0
326,-17.0
322,0.0
320,0.0
430,0.0
494,-26.0
324,-17.0
332,0.0
318,0.0
328,0.0
321,0.0
338,-5.0
369,0.0
419,0.0
331,0.0
325,0.0
321,0.0
325,0.0
327,0.0
341,-15.0
331,-19.0
329,0.0
324,0.0
497,-29.0
